postUrl,description,commentCount,likeCount,pubDate,Post_Number,BreakDown,Tagged
https://www.instagram.com/p/CZojfeThHiq/,Heart to heart. Which colour has your heart? 📸 Image courtesy of @chanelofficial #CHANELSpringSummer #comingsoon #tagafriend,56,,2022-02-06T11:10:05.000Z,27,"['Heart', 'to', 'heart.', 'Which', 'colour', 'has', 'your', 'heart?', '📸', 'Image', 'courtesy', 'of', '@chanelofficial', '#CHANELSpringSummer', '#comingsoon', '#tagafriend']",['chanelofficial']
https://www.instagram.com/p/CZi9u_TFPD2/,"The most ‘huat’ of them all, here’s your quick look at @chanelofficial’s latest box set of bags, with a hammered gold-tone Flap, a plexi perfume bottle and a large pearl orb. All safely tucked within a quilted gold lambskin leather trunk. Yum. 📸 Image courtesy of #Chanel #CHANELSpringSummer",78,,2022-02-04T07:03:57.000Z,28,"['The', 'most', '‘huat’', 'of', 'them', 'all,', 'here’s', 'your', 'quick', 'look', 'at', '@chanelofficial’s', 'latest', 'box', 'set', 'of', 'bags,', 'with', 'a', 'hammered', 'gold-tone', 'Flap,', 'a', 'plexi', 'perfume', 'bottle', 'and', 'a', 'large', 'pearl', 'orb.', 'All', 'safely', 'tucked', 'within', 'a', 'quilted', 'gold', 'lambskin', 'leather', 'trunk.', 'Yum.', '📸', 'Image', 'courtesy', 'of', '#Chanel', '#CHANELSpringSummer']",['chanelofficials']
https://www.instagram.com/p/CZObfJ4FH3-/,"With bids up to USD35,000 now (and it is only the second day of auction via @sothebys), how much do you think all 200 limited-edition pairs of these Nike Force 1 sneakers (with the leather case) by Virgil Abloh will eventually sell for? 📸 Image courtesy of @louisvuitton",32,,2022-01-27T07:39:52.000Z,29,"['With', 'bids', 'up', 'to', 'USD35,000', 'now', '(and', 'it', 'is', 'only', 'the', 'second', 'day', 'of', 'auction', 'via', '@sothebys),', 'how', 'much', 'do', 'you', 'think', 'all', '200', 'limited-edition', 'pairs', 'of', 'these', 'Nike', 'Force', '1', 'sneakers', '(with', 'the', 'leather', 'case)', 'by', 'Virgil', 'Abloh', 'will', 'eventually', 'sell', 'for?', '📸', 'Image', 'courtesy', 'of', '@louisvuitton']","['sothebys', 'louisvuitton']"
https://www.instagram.com/p/CZJi0dRleji/,"#PSA: For those who have been patiently waiting for updates, the #CHANELSpringSummer Pre-Collection will drop tomorrow at @theshoppesmbs and at @takashimayasc on Thursday. Let the games begin. 📸 Images courtesy of @chanelofficial #Chanel #tagafriend",52,,2022-01-25T10:07:45.000Z,30,"['#PSA:', 'For', 'those', 'who', 'have', 'been', 'patiently', 'waiting', 'for', 'updates,', 'the', '#CHANELSpringSummer', 'Pre-Collection', 'will', 'drop', 'tomorrow', 'at', '@theshoppesmbs', 'and', 'at', '@takashimayasc', 'on', 'Thursday.', 'Let', 'the', 'games', 'begin.', '📸', 'Images', 'courtesy', 'of', '@chanelofficial', '#Chanel', '#tagafriend']","['theshoppesmbs', 'takashimayasc', 'chanelofficial']"
https://www.instagram.com/p/CZHCteyFOQE/,The perfect stack. #Moynat 📸 Image courtesy of @moynat #MoynatVanityBox #MoynatLittleSuitcase,22,,2022-01-24T10:48:42.000Z,31,"['The', 'perfect', 'stack.', '#Moynat', '📸', 'Image', 'courtesy', 'of', '@moynat', '#MoynatVanityBox', '#MoynatLittleSuitcase']",['moynat']
https://www.instagram.com/p/CY_ODvmFM6P/,"For the 8th and final collection for #LouisVuitton by Virgil Abloh, #LVMenFW22 crossed-referenced all his previous collections that culminated in 'Louis Dreamhouse', a whimsical exploration of his most used term, 'imagination is what fuels this dream'. 📸 Images courtesy of @louisvuitton",40,,2022-01-21T09:53:56.000Z,32,"['For', 'the', '8th', 'and', 'final', 'collection', 'for', '#LouisVuitton', 'by', 'Virgil', 'Abloh,', '#LVMenFW22', 'crossed-referenced', 'all', 'his', 'previous', 'collections', 'that', 'culminated', 'in', ""'Louis"", ""Dreamhouse',"", 'a', 'whimsical', 'exploration', 'of', 'his', 'most', 'used', 'term,', ""'imagination"", 'is', 'what', 'fuels', 'this', ""dream'."", '📸', 'Images', 'courtesy', 'of', '@louisvuitton']",['louisvuitton']
https://www.instagram.com/p/CY1NrWwFoCj/,Because there is more than just browns and reds when it comes to card cases. What do you love? 📸 Images courtesy of the respective brands. #tagafriend,58,,2022-01-17T12:38:12.000Z,33,"['Because', 'there', 'is', 'more', 'than', 'just', 'browns', 'and', 'reds', 'when', 'it', 'comes', 'to', 'card', 'cases.', 'What', 'do', 'you', 'love?', '📸', 'Images', 'courtesy', 'of', 'the', 'respective', 'brands.', '#tagafriend']",[]
https://www.instagram.com/p/CYtKaI0F9_m/,"No, not a tiger in sight. Just butterflies flitting amongst bright florals for their Lunar New Year capsule collection. What do you love? 📸 Images courtesy of @dior #DiorCruise",62,,2022-01-14T09:35:42.000Z,34,"['No,', 'not', 'a', 'tiger', 'in', 'sight.', 'Just', 'butterflies', 'flitting', 'amongst', 'bright', 'florals', 'for', 'their', 'Lunar', 'New', 'Year', 'capsule', 'collection.', 'What', 'do', 'you', 'love?', '📸', 'Images', 'courtesy', 'of', '@dior', '#DiorCruise']",['dior']
https://www.instagram.com/p/CYqsmX4FnHU/,Stay golden… @maisonvalentino 📸 & 💐 @floralmagic_ for @bagaholicboy #VALENTINOGARAVANI #LocoBag,42,,2022-01-13T10:36:45.000Z,35,"['Stay', 'golden…', '@maisonvalentino', '📸', '&', '💐', '@floralmagic_', 'for', '@bagaholicboy', '#VALENTINOGARAVANI', '#LocoBag']","['maisonvalentino', 'floralmagic', 'bagaholicboy']"
https://www.instagram.com/p/CYpxr9wP5_Z/,"Pick your city, pick your cup. Which of these porcelain coffee cups do you have your eye on? 📸 Images courtesy of @balenciaga #Balenciaga #tagafriend",160,,2022-01-13T02:01:58.000Z,36,"['Pick', 'your', 'city,', 'pick', 'your', 'cup.', 'Which', 'of', 'these', 'porcelain', 'coffee', 'cups', 'do', 'you', 'have', 'your', 'eye', 'on?', '📸', 'Images', 'courtesy', 'of', '@balenciaga', '#Balenciaga', '#tagafriend']",['balenciaga']
