AgeRange.Low,AgeRange.High,Gender.Value,Gender.Confidence,site,AverageAge
16,22,Female,99.97411346,Milan Json\angieee_phua.jpg.json,19
37,45,Female,99.99698639,Milan Json\angiekyl.jpg.json,41
22,30,Female,99.996521,Milan Json\angieoby.jpg.json,26
22,30,Female,99.99544525,Milan Json\angiestnggng.jpg.json,26
16,24,Female,99.9154892,Milan Json\angiielaaaa.jpg.json,20
23,31,Female,99.9990921,Milan Json\angletwj.jpg.json,27
52,60,Male,99.95683289,Milan Json\angsl69.jpg.json,56
40,48,Female,99.99137115,Milan Json\angsl69.jpg.json,44
35,43,Female,93.97483826,Milan Json\animaraini.jpg.json,39
14,22,Female,99.99304962,Milan Json\anisahnzr.jpg.json,18
18,26,Female,99.99908447,Milan Json\anitasidek.jpg.json,22
18,26,Female,99.79088593,Milan Json\anjoy26.jpg.json,22
16,22,Female,99.57028961,Milan Json\annaaaaa_2015.jpg.json,19
33,41,Male,81.06066895,Milan Json\annasofyan.jpg.json,37
18,24,Female,99.99306488,Milan Json\anna_chin.jpg.json,21
22,30,Female,99.68786621,Milan Json\anna_gratia.jpg.json,26
14,22,Female,99.99890137,Milan Json\anncheow.jpg.json,18
23,33,Female,99.9024353,Milan Json\anncourage__.jpg.json,28
23,31,Female,99.99516296,Milan Json\anneauliab.jpg.json,27
20,28,Female,99.7592392,Milan Json\annechan05.jpg.json,24
16,22,Female,99.74882507,Milan Json\anneiht.jpg.json,19
20,28,Female,99.92669678,Milan Json\annenoorain.jpg.json,24
21,29,Female,99.99753571,Milan Json\annhor1031.jpg.json,25
27,37,Female,99.99467468,Milan Json\annie_1113.jpg.json,32
33,41,Male,99.62667847,Milan Json\anqi.jpg.json,37
19,27,Female,99.99822235,Milan Json\anqi.jpg.json,23
19,27,Female,99.9978714,Milan Json\ant6000.jpg.json,23
13,21,Female,99.99430847,Milan Json\anterine.jpg.json,17
18,26,Female,83.99610901,Milan Json\anyiefany_andre.jpg.json,22
14,22,Female,99.90232849,Milan Json\aoao_0902.jpg.json,18
21,29,Female,99.99185944,Milan Json\aomp_pp.jpg.json,25
18,26,Male,90.34246826,Milan Json\apittkcp.jpg.json,22
23,31,Female,99.98180389,Milan Json\applekelly23.jpg.json,27
21,29,Female,99.95013428,Milan Json\ariannagajudo.jpg.json,25
16,22,Female,99.97402191,Milan Json\arinnaparphorn.jpg.json,19
18,24,Female,99.99897003,Milan Json\ariyani6374.jpg.json,21
25,35,Female,99.92192841,Milan Json\armoiredorange.jpg.json,30
16,24,Male,91.93628693,Milan Json\arniatiasmani.jpg.json,20
45,53,Male,99.45609283,Milan Json\arniatiasmani.jpg.json,49
25,35,Male,81.63859558,Milan Json\arniatiasmani.jpg.json,30
33,41,Male,99.15154266,Milan Json\arniatiasmani.jpg.json,37
26,36,Female,95.84681702,Milan Json\arniatiasmani.jpg.json,31
18,26,Male,86.38781738,Milan Json\aronthedreamer.jpg.json,22
16,22,Female,99.96326447,Milan Json\arreyudynda.jpg.json,19
26,36,Male,98.92271423,Milan Json\arynscreations.jpg.json,31
20,28,Female,99.97403717,Milan Json\arynscreations.jpg.json,24
37,45,Female,99.97479248,Milan Json\ashleyazeria.jpg.json,41
23,31,Female,99.6688385,Milan Json\asrinazaini.jpg.json,27
18,24,Female,99.98272705,Milan Json\astrinah.jpg.json,21
18,26,Female,99.95807648,Milan Json\ataiathai.jpg.json,22
18,24,Female,99.95137787,Milan Json\atiraa_ahmad.jpg.json,21
16,24,Female,99.87522125,Milan Json\atoh118.jpg.json,20
23,31,Female,99.28813934,Milan Json\audrey.jpg.json,27
19,27,Female,97.78333282,Milan Json\audrey.jpg.json,23
26,36,Female,98.74255371,Milan Json\audrey.jpg.json,31
20,28,Male,99.36606598,Milan Json\audrey.jpg.json,24
19,27,Female,99.99708557,Milan Json\auntietay.jpg.json,23
19,27,Female,99.98830414,Milan Json\austinaee.jpg.json,23
20,28,Female,99.97338867,Milan Json\av0nice.jpg.json,24
16,22,Female,99.99596405,Milan Json\avagui.jpg.json,19
23,31,Male,99.21512604,Milan Json\averybella.jpg.json,27
23,31,Female,99.98729706,Milan Json\averybella.jpg.json,27
29,39,Female,99.98262024,Milan Json\ayu.jpg.json,34
41,49,Male,99.75868988,Milan Json\ayumeidril.jpg.json,45
59,67,Male,99.89412689,Milan Json\ayumeidril.jpg.json,63
25,35,Male,99.58222961,Milan Json\ayumeidril.jpg.json,30
35,43,Female,90.19611359,Milan Json\ayumeidril.jpg.json,39
38,46,Male,92.17256927,Milan Json\ayumeidril.jpg.json,42
19,27,Female,98.8298645,Milan Json\ayxnsbh.jpg.json,23
22,30,Female,99.43437195,Milan Json\ayxnsbh.jpg.json,26
28,38,Male,99.97671509,Milan Json\azhrxnrl.jpg.json,33
23,31,Female,99.99134827,Milan Json\azhrxnrl.jpg.json,27
