AgeRange.Low,AgeRange.High,Gender.Value,Gender.Confidence,site,AverageAge
18,26,Female,99.76757813,LoveLots Json\7vy.jpg.json,22
30,40,Female,99.46812439,LoveLots Json\80300.jpg.json,35
26,36,Female,99.98783112,LoveLots Json\85samhearne.jpg.json,31
39,47,Male,99.98299408,LoveLots Json\85samhearne.jpg.json,43
24,34,Female,99.98458862,LoveLots Json\878jt.jpg.json,29
19,27,Female,99.99454498,LoveLots Json\88289292_hl.jpg.json,23
18,26,Male,99.4677887,LoveLots Json\8nikansya.jpg.json,22
23,31,Female,99.99919128,LoveLots Json\8piglets.jpg.json,27
16,24,Male,97.6182785,LoveLots Json\8ruat.jpg.json,20
23,33,Female,99.99687195,LoveLots Json\8thandocean.jpg.json,28
16,24,Female,99.96569824,LoveLots Json\8thoct.jpg.json,20
19,27,Female,83.27336884,LoveLots Json\9053.jpg.json,23
13,21,Female,99.99949646,LoveLots Json\908jes.jpg.json,17
21,29,Female,99.99948883,LoveLots Json\90__tan.jpg.json,25
24,34,Female,99.94421387,LoveLots Json\911kar.jpg.json,29
16,24,Female,99.93605042,LoveLots Json\91kamikaze.jpg.json,20
29,39,Male,99.97598267,LoveLots Json\9teensniper19.jpg.json,34
33,41,Female,97.08621216,LoveLots Json\9teensniper19.jpg.json,37
24,34,Male,99.63571167,LoveLots Json\9teensniper19.jpg.json,29
25,35,Female,91.81858063,LoveLots Json\9teensniper19.jpg.json,30
16,24,Male,99.67552948,LoveLots Json\9teensniper19.jpg.json,20
16,22,Female,99.98213959,LoveLots Json\a.b.u.r.i.b.i.b.jpg.json,19
14,22,Female,99.99402618,LoveLots Json\a.k.jpg.json,18
16,22,Female,99.97874451,LoveLots Json\a.loveaffair.jpg.json,19
24,34,Female,98.81154633,LoveLots Json\a.n.g.i.e_n.jpg.json,29
23,31,Female,99.99788666,LoveLots Json\a.n.g.i.e_n.jpg.json,27
45,53,Female,99.9874115,LoveLots Json\a.r.jpg.json,49
16,22,Female,99.99855042,LoveLots Json\a.shi.lin.jpg.json,19
26,36,Female,99.92682648,LoveLots Json\a.tingx.jpg.json,31
22,30,Female,99.99014282,LoveLots Json\a.u.i.a.y.jpg.json,26
16,22,Female,99.99712372,LoveLots Json\a0972032752.jpg.json,19
22,30,Female,99.99601746,LoveLots Json\a0986272857.jpg.json,26
25,35,Male,96.92972565,LoveLots Json\a19871013.jpg.json,30
22,30,Female,99.9941864,LoveLots Json\a1bee.jpg.json,26
33,41,Female,99.99829865,LoveLots Json\a1phan.jpg.json,37
43,51,Male,99.99539185,LoveLots Json\a2ndchancenks.jpg.json,47
34,42,Female,99.97540283,LoveLots Json\a2ndchancenks.jpg.json,38
20,28,Female,99.94351196,LoveLots Json\a319598.jpg.json,24
18,24,Female,85.74195862,LoveLots Json\a5h1eychan.jpg.json,21
20,28,Female,99.98963928,LoveLots Json\a7laia.jpg.json,24
20,28,Female,93.83522034,LoveLots Json\aa0975313666.jpg.json,24
22,30,Female,99.99393463,LoveLots Json\aa42233.jpg.json,26
31,41,Male,99.99308777,LoveLots Json\aa561655.jpg.json,36
18,24,Male,99.40317535,LoveLots Json\aaag_.jpg.json,21
23,33,Male,99.91600037,LoveLots Json\aaag_.jpg.json,28
14,22,Female,99.98508453,LoveLots Json\aaangie_x.jpg.json,18
22,30,Female,99.42251587,LoveLots Json\aaa_____82.jpg.json,26
18,24,Female,99.99834442,LoveLots Json\aab845shanel.jpg.json,21
24,34,Female,99.99238586,LoveLots Json\aade7891.jpg.json,29
