Name,Brand,Price,Picture,Category,Availability
  EMPREINTE SPEEDY BAND 30 , Louis Vuitton,2995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19925_3_.jpg,Handbags,Available
  PARIS BIARRITZ MEDIUM W POCKETS , Chanel,2500.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19921_6__1.jpg,Handbags,Available
  MONO TIVOLI PM , Louis Vuitton,1250.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19917_4_.jpg,Handbags,Available
  MONSTER SHEARLING SMALL BACKPACK , Fendi,1250.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19916_5_.jpg,Handbags,Available
  BEARN LONG WALLET GHW OSTRICH , Hermes,1500.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19914_1_.jpg,Handbags,Available
  CABAS RIVE GAUCHE SMALL , YSL,1695.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19912_4_.jpg,Handbags,Available
  SWING TOTE SMALL , Gucci,1195.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19911_3_.jpg,Handbags,Available
  MONO SARAH WALLET , Louis Vuitton,450.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19909_1_.jpg,Handbags,Available
  MONOGRAM BILL POUCH , YSL,595.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19907_1_.jpg,Handbags,Available
  O CASE LARGE GHW , Chanel,1595.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19906_5_.jpg,Handbags,Available
  MONO ALMA PM , Louis Vuitton,1650.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19905_4_.jpg,Handbags,Available
  VINTAGE SHOULDER BAG , Loewe,895.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19904_3_.jpg,Handbags,Available
